station,name,x,y,tair
21133.0,Snowtown (Rayville Park),138.2,-33.8,[24 - 26.500]
22031.0,Minlaton Aero,137.5,-34.7,[21.500 - 24]
22046.0,Edithburgh,137.7,-35.1,[19 - 21.500]
22049.0,Stenhouse Bay,136.9,-35.3,[19 - 21.500]
22050.0,Kadina Aws,137.7,-34.0,[24 - 26.500]
22803.0,Cape Willoughby,138.1,-35.8,[16.500 - 19]
22823.0,Cape Borda,136.6,-35.8,[19 - 21.500]
22841.0,Kingscote Aero,137.5,-35.7,[21.500 - 24]
22843.0,Parndana Cfs Aws,137.2,-35.8,[19 - 21.500]
23013.0,Parafield Airport,138.6,-34.8,[24 - 26.500]
23034.0,Adelaide Airport,138.5,-35.0,[21.500 - 24]
23083.0,Edinburgh Raaf,138.6,-34.7,[24 - 26.500]
23090.0,Adelaide (Kent Town),138.6,-34.9,[24 - 26.500]
23122.0,Roseworthy Aws,138.7,-34.5,[24 - 26.500]
23373.0,Nuriootpa Pirsa,139.0,-34.5,[21.500 - 24]
23842.0,Mount Lofty,138.7,-35.0,[16.500 - 19]
23875.0,Parawa (Second Valley Forest Aws),138.3,-35.6,[19 - 21.500]
23878.0,Mount Crawford Aws,138.9,-34.7,[19 - 21.500]
23885.0,Noarlunga,138.5,-35.2,[21.500 - 24]
23887.0,Kuitpo Forest Reserve,138.7,-35.2,[19 - 21.500]
23894.0,Hindmarsh Island Aws,138.8,-35.5,[19 - 21.500]
24024.0,Loxton Research Centre,140.6,-34.4,[24 - 26.500]
24048.0,Renmark Aero,140.7,-34.2,[24 - 26.500]
24580.0,Strathalbyn Racecourse,138.9,-35.3,[21.500 - 24]
24584.0,Murray Bridge (Pallamana Aerodrome),139.2,-35.1,[21.500 - 24]
25557.0,Keith (Munkora),140.3,-36.1,[21.500 - 24]
25562.0,Lameroo (Austin Plains),140.5,-35.4,[21.500 - 24]
26021.0,Mount Gambier Aero,140.8,-37.7,[19 - 21.500]
26091.0,Coonawarra,140.8,-37.3,[19 - 21.500]
26095.0,Cape Jaffa (The Limestone),139.7,-37.0,[19 - 21.500]
26099.0,Naracoorte Aerodrome,140.7,-37.0,[21.500 - 24]
26100.0,Padthaway South,140.5,-36.7,[21.500 - 24]
26105.0,Robe Airfield,139.8,-37.2,[19 - 21.500]
27045.0,Weipa Aero,141.9,-12.7,[29 - 31.500]
27058.0,Horn Island,142.3,-10.6,[29 - 31.500]
27073.0,Coen Airport,143.1,-13.8,[29 - 31.500]
27075.0,Scherger Raaf,142.1,-12.6,[29 - 31.500]
28004.0,Palmerville,144.1,-16.0,[29 - 31.500]
28008.0,Lockhart River Airport,143.3,-12.8,[29 - 31.500]
29038.0,Kowanyama Airport,141.7,-15.5,[29 - 31.500]
29039.0,Mornington Island,139.2,-16.7,[29 - 31.500]
29058.0,Julia Creek Airport,141.7,-20.7,[31.500 - 34]
29063.0,Normanton Airport,141.1,-17.7,[29 - 31.500]
29077.0,Burketown Airport,139.5,-17.7,[29 - 31.500]
29127.0,Mount Isa Aero,139.5,-20.7,[29 - 31.500]
29141.0,Cloncurry Airport,140.5,-20.7,[29 - 31.500]
29167.0,Century Mine,138.7,-18.8,[29 - 31.500]
29181.0,Lake Julius Aws,139.7,-20.1,[31.500 - 34]
30022.0,Hughenden Airport,144.2,-20.8,[29 - 31.500]
30124.0,Georgetown Airport,143.5,-18.3,[29 - 31.500]
30161.0,Richmond Airport,143.1,-20.7,[29 - 31.500]
31011.0,Cairns Aero,145.7,-16.9,[29 - 31.500]
31037.0,Low Isles Lighthouse,145.6,-16.4,[26.500 - 29]
31192.0,Green Island,146.0,-16.8,[26.500 - 29]
31209.0,Cooktown Airport,145.2,-15.4,[29 - 31.500]
31210.0,Mareeba Airport,145.4,-17.1,[26.500 - 29]
31213.0,Cape Flattery,145.3,-15.0,[29 - 31.500]
31222.0,Cairns Racecourse,145.7,-16.9,[29 - 31.500]
32037.0,South Johnstone Exp Stn,146.0,-17.6,[26.500 - 29]
32040.0,Townsville Aero,146.8,-19.2,[29 - 31.500]
32141.0,Lucinda Point,146.4,-18.5,[26.500 - 29]
