ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
334464,Mount Windarra,Windarra,WA,operating mine,122.2330164,-28.48515023,"Nickel, Platinum group elements, Palladium, Platinum",3,Poseidon Nickel Limited,http://www.poseidon-nickel.com.au,,,,,,,,
334374,New Cobar,"Peak Mines Project, Fort Bourke",NSW,operating mine,145.8551,-31.5161,"Gold, Copper",4,New Gold Inc,http://www.newgold.com/,,,,,,,,
333291,New Occidental,"Peak Mines Project, Occidental",NSW,operating mine,145.864,-31.5403,"Gold, Copper",4,Goldcorp,http://www.goldcorp.com/,New Gold Inc,http://www.newgold.com/,,,,,,
335362,Northparkes,Goonumbla,NSW,operating mine,148.0498,-32.9135,"Copper, Gold, (Silver)",3,Northparkes Mine,http://www.northparkes.com.au,"China Molybdenum Co., Ltd.",http://www.chinamoly.com/en/,"Sumitomo Metal Mining Co., Ltd.",http://www.smm.co.jp/E/,,,,
334199,North Stradbroke Island,"Amity, Bayside, Gordon",QLD,operating mine,153.4435,-27.47679079,"Zircon, Rutile, Ilmenite",3,Consolidated Rutile Ltd,http://www.consrutile.com.au,,,,,,,,
335252,Cleo,Sunrise Dam Project,WA,operating mine,122.4198,-29.0773,Gold,6,,,,,,,,,,
333436,Bloomfield,,NSW,operating mine,151.5669617,-32.79218872,Coal - black,3,,,,,,,,,,
335871,Oakdale,,NSW,operating mine,150.480322,-34.03778271,Coal - black,3,Illawarra Coal,http://www.illawarracoal.com,,,,,,,,
334110,West Wallsend,includes Lachlan proposal,NSW,operating mine,151.6048113,-32.94791066,Coal - black,3,Xstrata plc,http://www.xstrata.com/,Marubeni Corporation,http://www.marubeni.com/,,,,,,
335653,Hamersley Iron - Nammuldi,,WA,operating mine,117.3952993,-22.40686567,"Iron ore, Iron",2,Rio Tinto Limited,http://www.riotinto.com,HIsmelt,http://www.hismelt.com.au,Rio Tinto Iron Ore,http://www.riotintoironore.com,,,,
333595,Savannah,Sally Malay,WA,operating mine,128.0234929,-17.34720566,"Nickel, Copper, Cobalt, Platinum group elements",3,Panoramic Resources Limited,http://www.panoramicresources.com,,,,,,,,
335761,Thuddungra,"Noakes, Young, Baileys",NSW,operating mine,148.049644,-34.17331501,"Magnesite, Magnesia (magnesium oxide)",6,,,,,,,,,,
333669,Inverell-Glen Innes,"Frazers Creek, Horses Gully, Reddestone Creek, Copes Creek, Kings Plains Creek",NSW,operating mine,151.7276798,-29.6104448,Corundum - sapphire,6,,,,,,,,,,
335016,Morning Star - Woods Point,Woods Point Gold Project,VIC,operating mine,146.2456,-37.5686,Gold,4,Morning Star Gold NL,http://www.msgold.com.au,,,,,,,,
334940,Cooljarloo (TRONOX),,WA,operating mine,115.413696,-30.625429,"Ilmenite, Zircon, Rutile, Leucoxene, Mineral sands",3,Tiwest JV,http://www.tiwest.com.au,EXXARO,http://WWW.exxaro.com/content/main/home.asp,,,,,,
335017,Fosterville Project,Fosterville Project,VIC,operating mine,144.5036,-36.7163,Gold,3,Crocodile Gold Corporation,http://www.crocgold.com/,,,,,,,,
334942,Mariners,,WA,operating mine,121.6612568,-31.62784477,"Nickel, Cobalt, (Copper)",4,Mincor Resources NL,http://www.mincor.com.au,,,,,,,,
333334,Charbon,,NSW,operating mine,149.9776638,-32.89640605,Coal - black,3,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
334956,Karara - Blue Hills (Gindalbie Metals),"Blue Hills North, Terapod, Terapod West",WA,operating mine,116.8348006,-29.16293478,"Iron ore, (Iron)",3,Midwest Corporation,http://www.midwestcorp.com.au,Sinosteel Midwest Corporation,http://www.sinosteelmidwest.com.au,,,,,,
333629,Suttor Creek,,QLD,operating mine,147.9367561,-21.37989547,Coal - black,6,Itochu Corporation,http://www.itochu.co.jp/main/index_e.html,,,,,,,,
333808,Hornet,East Kundana JV,WA,operating mine,121.264,-30.7497,Gold,4,Barrick Gold Corporation,http://www.barrick.com,Rand Mining,http://www.randmining.com.au/,Tribune Resources Limited,http://www.tribune.com.au/,,,,
336162,Donaldson,Abel,NSW,operating mine,151.5765075,-32.79298363,Coal - black,2,Donaldson Coal Pty Ltd,http://www.doncoal.com.au,Yancoal Australia Pty Ltd,http://yancoalaustralia.com.au,,,,,,
334135,Mandalong,"Cooranbong Extension, Mandalong South",NSW,operating mine,151.449976,-33.12684092,Coal - black,2,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
334729,Kara Mine (Tasmania Mines),Kara No.1,TAS,operating mine,145.7720113,-41.30999557,"Tungsten, Tungsten trioxide (wolframite), Iron ore, Tin, (Magnetite, Iron)",5,Tasmania Mines Limited,http://www.tasmines.com.au/,,,,,,,,
334652,Appin,Douglas,NSW,operating mine,150.7917889,-34.20784997,Coal - black,2,Illawarra Coal,http://www.illawarracoal.com,,,,,,,,
336230,Boggabri,,NSW,operating mine,150.1633441,-30.59041116,Coal - black,2,Idemitsu Kosan Co Ltd,http://www.idemitsu.co.jp/e/,,,,,,,,
336170,St Ives Project,"Victory, Defiance, Britannia, Sirius, Argo, Revenge, Repulse, Junction",WA,operating mine,121.7451,-31.3243,Gold,3,Gold Fields Limited,http://www.goldfields.co.za/,,,,,,,,
333649,Kunanalling Project,"Kunanalling Project,  Burgundy, Rayjax",WA,operating mine,121.0584,-30.6648,Gold,4,Phoenix Gold Limited,http://www.phoenixgold.com.au,,,,,,,,
333953,Lake Lindsay,Girrah,QLD,operating mine,148.7530605,-23.03435751,Coal - black,6,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
333788,Tartana,,QLD,operating mine,144.2660079,-16.92998434,Copper,4,The London Metal Exchange (LME),http://www.lme.co.uk,"Report on Queensland's Gold, Silver and Base Metals (October 2005)",http://www.dme.qld.gov.au/zone_files/min_quarry_pdf/gold_silver_base_metals.pdf,"Report on Investment Environment, Atherton Tablelands p36",http://www.kleinhardt.com.au/files/65/Investment%20Profile%20-%20TablelandsFinal010507.pdf,,,,
334738,Plutonic,Plutonic Project,WA,operating mine,119.4437,-25.3171,Gold,3,Barrick Gold Corporation,http://www.barrick.com,Northern Star Resources Limited,http://www.nsrltd.com/,,,,,,
334287,Darlot Project,Darlot Project,WA,operating mine,121.2689,-27.8875,Gold,3,Gold Fields Limited,http://www.goldfields.co.za/,,,,,,,,
333696,Huntly,,WA,operating mine,116.1664964,-32.55579473,"Bauxite, (Alumina)",2,Alcoa of Australia Ltd,http://www.alcoa.com.au,,,,,,,,
